GPC_ID   | MEDIA   | DUDOSOS  | TOTAL    | % ERROR | CATEGORIA
473      | 0.933   | 51       | 4897     |    1.0% | Salud y belleza  >  Cuidado personal  >  Cosméticos
5697     | 0.929   | 50       | 8844     |    0.6% | Ropa y accesorios  >  Prendas de vestir  >  Ropa deportiva  >  Ropa de ciclismo
719      | 0.896   | 50       | 2015     |    2.5% | Casa y jardín  >  Jardín  >  Artículos de exterior  >  Sombrillas
5847     | 0.924   | 50       | 5023     |    1.0% | Casa y jardín  >  Decoración  >  Fragancias para el hogar  >  Aceites aromáticos
500000   | 0.901   | 48       | 983      |    4.9% | Mobiliario  >  Conjuntos de mobiliario  >  Muebles de baño
35       | 0.906   | 48       | 1537     |    3.1% | Arte y ocio  >  Hobbies y artes creativas  >  Trucos de magia
6463     | 0.903   | 46       | 1011     |    4.5% | Ropa y accesorios  >  Joyería  >  Conjuntos de joyas
1013     | 0.891   | 45       | 1206     |    3.7% | Equipamiento deportivo  >  Actividades al aire libre  >  Camping y senderismo
184      | 0.928   | 44       | 5306     |    0.8% | Ropa y accesorios  >  Disfraces y accesorios
503771   | 0.820   | 44       | 372      |   11.8% | Economía e industria  >  Manipulación de materiales  >  Izado y subida  >  Carretillas elevadoras
648      | 0.917   | 42       | 2779     |    1.5% | Casa y jardín  >  Cocina y comedor  >  Utensilios para cocinar y para hornear  >  Utensilios para hornear  >  Bandejas para hornear
2768     | 0.931   | 41       | 6383     |    0.6% | Vehículos y recambios  >  Piezas y accesorios para vehículos  >  Seguridad y protección para vehículos  >  Sistemas de alarmas y bloqueo
503742   | 0.925   | 41       | 2271     |    1.8% | Bricolaje  >  Consumibles para construcción  >  Pegamentos y adhesivos industriales
5322     | 0.924   | 40       | 8701     |    0.5% | Ropa y accesorios  >  Prendas de vestir  >  Ropa deportiva
4636     | 0.910   | 40       | 1363     |    2.9% | Casa y jardín  >  Iluminación  >  Lámparas móviles
1807     | 0.917   | 39       | 4537     |    0.9% | Ropa y accesorios  >  Prendas de vestir  >  Ropa interior y calcetines  >  Ropa interior térmica
422      | 0.912   | 37       | 1899     |    1.9% | Alimentación, bebida y tabaco  >  Alimentos
203      | 0.917   | 36       | 2008     |    1.8% | Ropa y accesorios  >  Prendas de vestir  >  Ropa de abrigo
3674     | 0.921   | 36       | 4029     |    0.9% | Equipamiento deportivo  >  Actividades al aire libre  >  Caza y tiro  >  Caza  >  Trampas para animales
